BSSID,Level,Room,Model,Time
9c:50:ee:30:31:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:60,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:91:61,-92,0,OPPO A57,2017/8/15 21:22
12:18:d6:95:93:1e,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:95:a0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:72:a0,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:20:81,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:73:20,-110,0,OPPO A57,2017/8/15 21:22
78:eb:14:e7:2a:82,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:92:a1,-93,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:7e:e1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:92:41,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:3f:c1,-93,0,OPPO A57,2017/8/15 21:22
b0:75:d5:5f:c5:2f,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:92:81,-39,0,OPPO A57,2017/8/15 21:22
b0:75:d5:5f:c5:37,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9c:a0,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:21:a1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:31:21,-110,0,OPPO A57,2017/8/15 21:22
ec:17:2f:4a:cf:fc,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:37:a0,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:1f:c0,-63,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9f:20,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:a1:e0,-93,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:75:c1,-110,0,OPPO A57,2017/8/15 21:22
d4:ee:07:01:9d:4e,-110,0,OPPO A57,2017/8/15 21:22
ac:4e:91:61:1f:e1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:39:e1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:71:80,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:45:61,-91,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:30:80,-110,0,OPPO A57,2017/8/15 21:22
e2:75:d5:80:84:cd,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8d:21,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:8b:a0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:45:c1,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:30:46:21,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:92:80,-39,0,OPPO A57,2017/8/15 21:22
ac:4e:91:49:fc:c0,-110,0,OPPO A57,2017/8/15 21:22
9c:50:ee:3f:9c:21,-110,0,OPPO A57,2017/8/15 21:22
3c:46:d8:58:64:c9,-110,0,OPPO A57,2017/8/15 21:22
